id,title,code,subject,descr,tags,rating
3265,"Corporations, Shareholders, and Policy",PAM 5334,PAM,"The term ""firm"" has very broad usage. It refers to any organizational form that people use to create teams or groups that focus on achieving a specific purpose. Firms provide a structure through which people can organize themselves into those groups or teams. They are categorized by the nature of the property rights owners hold in the firm, and by the details of the firm's contractual arrangements. Common firm types include partnerships, sole proprietorships, non-profits, mutuals, and publicly traded corporations, among others. This course focuses on one important firm type: the modern publicly traded, privately owned corporation. The course uses economic and statistical analysis to study the interaction of the public corporation, the market, and the law, and how those interactions affect the welfare of managers, shareholders and consumers. The costs and benefits of that standard corporate form of organization are examined. A variety of legal institutions, some of which have evolved over decades, are analyzed. Those institutions define and govern the corporation. They include limited liability, fiduciary duties, the business judgment rule, and shareholder voting. The mechanisms of corporate governance, i.e., those legal and market-based forces that help control the corporation and ensure that managers operate it in shareholders' interest, are examined. Corporate governance mechanisms include hostile takeovers, insider trading, outside directors on the board, the monitoring role of institutional investors, audits, and executive compensation plans. State corporate law and anti-takeover devices are also discussed. The role and impact of federal policies, such as the 1933-34 Exchange Acts, the Sarbanes-Oxley Act and the Dodd-Frank Act in affecting corporate structure and managerial behavior will be an important focus. Other institutions and policies related to publicly traded corporations, such as sovereign wealth funds and government-sponsored enterprises, will also be examined along the way.",PAM,5
3266,Economics of Consumer Policy,PAM 5400,PAM,This course is designed to develop students' critical understanding of government policies aimed toward protecting consumers' wellbeing in markets. The course uses the tools of microeconomic analysis to investigate the various rationales for and the effects of these forms of government regulation. Economic theory is applied to the study of specific consumer protection policies in the United States and elsewhere.,PAM,5
3267,Microeconomics for Management and Policy,PAM 5470,PAM,Introduces microeconomic theory and its application to decision making in the management and policy arenas. Places special emphasis on the economic environment of health care organizations and the problems faced by managers in this environment.,PAM,5
3268,Collaborative Modeling Methods for Policy and Program Evaluation,PAM 5550,PAM,"This course addresses the evaluation of policies and their programmatic implementation. The course introduces a framework for understanding the policy-program system, provides skills in a variety of methodologies for facilitating the development of well-articulated policy and program models among key stakeholders (e.g., policy makers, funders, government entities, administrators and the general public), and critically assesses the strengths of different approaches.",PAM,5
3269,Managerial Finance,PAM 5563,PAM,"This course provides an introduction to business finance through video lectures and assignments. Topics include basic financial accounting, time value of money, stock and bond valuation, capital budgeting, portfolio theory, asset-pricing models, cost of capital, dealing with risk, capital structure, acquisitions, and options. Application of theory to practical applications will be emphasized.",PAM,5
3270,The Healthcare Industry from a Consulting Perspective,PAM 5580,PAM,"This course aims to help students develop a holistic and pragmatic view of the healthcare industry and enhance their consulting toolkit. It offers an overview of different segments (pharma, payer, provider), the major challenges different players are trying to solve, and the consulting approach to address these challenges. Students will get to practice core consulting skills such as problem solving, synthesis and storytelling.",SBA-HE|PAM,5
3271,Managing Operations,PAM 5583,PAM,"This course prepares students to think analytically and managerially about operations processes, and to use the tools and intuition they acquire to ensure that the operations in production and service systems support the business strategies for these systems. A process view of operations will be used to analyze different key operational dimensions such as flow time management, service operations management, quality management, inventory management and supply chain management.",PAM,5
3272,Health Care Finance for Managers,PAM 5633,PAM,"This case-based course focuses on the financial analyses that managers in the health care industry use to make strategic and operating decisions.  We will begin by examining how health insurers design and price their products and manage enrollees' medical expenditures.  The reimbursement methods that public and private insurers use in turn affect how physicians, health systems, and other providers are organized and managed.  Therefore, we will measure a health system's profitability by product/service line and examine how reimbursement can be used to align physician and hospital incentives.  In the second half of the course we will we will review how firms set prices and forecast sales and cash flows.  We will then review and apply three different methods of valuing medical products/services and companies: the expected net present value of free cash flows, multiples, and the venture capital method, and explore how to price products/services.",PAM,5
3273,Health Policy,PAM 5670,PAM,"Addresses major health policy issues and the critical processes that influence them. Focuses primarily on the United States, with some coverage of health policy in other countries. Topics include Medicare, Medicaid, the uninsured, public health, the effect of welfare policy on health care, managed care development and regulation, state and federal health care reform, and many others. The course analyzes the politics of health policy in terms of legislative and executive processes; the forces involved including economic, social, ethical, and political factors; and key players in health policy, such as special interest groups, public agencies, and elected officials.",PAM,5
3274,Desktop and Modeling Solutions,PAM 5679,PAM,"This course presents an advanced approach to data-intensive problem-solving using Microsoft Excel. Advanced concepts such as external queries, data tables, arrays, iterative techniques and macros will be reviewed. These will then be incorporated into an integrated business model. Emphasis will be on clear, separated input and output, data integrity, user interface design, documentation, maintainability, robustness and user support.",PAM,5
3275,"Leadership, Innovation and Change Management",PAM 5713,PAM,"This course will take on two major topics: organizational culture and identifying and aligning products, services, and strategies throughout a healthcare organization. The course will equip students with the proper tools to lead innovation and change within a healthcare organization. Topics will include culture, business analysis models such as BCG matrix, SWOT analysis, porters five forces, and strategic plans.",PAM,5
3276,Short Course in Fundamentals of Health Facility Planning for Managers,PAM 5740,PAM,"Provides M.H.A. and other students who may be interested in careers in health care management with a basic familiarity regarding some of the concepts and terminology related to health facility planning projects. The course touches on areas that a manager might encounter, including working with designers, the relationship between strategic planning issues and facility planning, basic cost estimating techniques, simplified plan interpretation, and use of architectural and engineering scales. The course have two primary components. One portion is lectures and hands-on demonstrations on plan reading/measurements and an overview of the process of project planning. We anticipate a tour of an active or recently completed project at either Cornell or Cayuga Medical Center as time allows. The other involves live or videoconference presentations from invited practitioners and researchers in the health facilities area.",PAM,5
3277,Special Topics in Health Administration and Finance,PAM 5900,PAM,A special topics course specifically designed for students in the Sloan Program in Health Administration. Possible multiple offerings using adjunct faculty teaching in areas of expertise not covered in depth in the Sloan core curriculum and relevant to students preparing for careers in health management. Format ranges from intensive courses offered over several full days to longer courses meeting on a weekly basis. Each section represents a separate stand-alone course occurring over the dates indicated.,PAM,5
3278,Field Study in Health Administration and Planning,PAM 5952,PAM,"Students interested in developing administrative and program-planning research skills are given an opportunity to evaluate an ongoing phase of health care agency activity in the light of sound administrative practice and principles of good medical care. In planning and carrying out the research, students work closely with a skilled practicing administrator and with members of the faculty.",PAM,5
3279,Field Studies for Health Managers,PAM 5953,PAM,"The course is designed to act as an integrative experience combining the competencies and knowledge gained during the student's time at Sloan and the experiences gained in employment. The field study allows students to work on a long term project within their organization which has been identified as relevant to the coursework and important to the organization. Students will work on a project within their own health care organization throughout the 18 month course of the program. Applying what has been learned in courses and in their career, the students are expected to develop relevant and actionable strategic solutions for the project, culminating in an oral presentation, with a written summary of analysis, documentation and rationale.",PAM,5
3280,Challenges and Trends in the Health Services Industry,PAM 5990,PAM,"Provides students with information and exposure to current and emerging issues in the health services industry. Topics may include financial management of health care facilities, human resource management, information systems, cost-effective clinical decision making, quality measurement and outcomes, public health, and entrepreneurship in the health services industry.",PAM,5
3281,Special Problems for Graduate Students,PAM 6000,PAM,Independent advanced work by graduate students recommended by their chair and approved by the department chair and the instructor.,PAM,5
3282,Intermediate Statistics for Sociological Research,PAM 6020,PAM,"This course provides the second part of a two-semester introduction to quantitative methods in sociological research. It is designed for first-year graduate students in sociology. The course covers intermediate topics in linear regression, and provides an introduction to models for categorical and count data, the analysis of time data, and longitudinal data. We'll also discuss data-related issues such as missing data and weighting, and data that are complicated by issues of non-random design. While statistical modeling is the focus of the course, we proceed with the assumption that models are only as good as the theoretical and substantive knowledge behind them. Thus, in covering the technical material, we will spend considerable time discussing the link between substantive knowledge and statistical practice.",PAM,5
3283,Demographic Techniques,PAM 6060,PAM,"This is the second course in the demographic techniques sequence. It has two foci. First, we will learn the basics of constructing single and multiple decrement life tables, along with extensions to cause-deleted life tables. Second, we will learn the basics of survival analysis, as well as how survival analysis relates to life tables. Although the primary goal is learning to use these techniques, this class also has a heavy emphasis on thinking about how to use these methods to produce something new and important for research. The grad students will also be asked to complete a 10 page research proposal.",PAM,5
3284,Empirical Strategies for Policy Research II,PAM 6091,PAM,"This course is the second of a two-course sequence. Both PAM 6090 and this course are, for the most part, targeted at students looking to do empirical research into the effects of some X on some Y. Both courses require students to complete problem sets that involve ""hands-on"" exercises – some based on real data and some using Monte Carlo simulations. The hope is that this ""learning by doing"" will reinforce what is taught in class. Usually, the first course covers core methods, specifically regression adjustment, matching and instrumental variables. This second course covers additional topics in matching (we will touch on machine learning methods in the process), regression discontinuity designs, panel data methods, and mediation analysis in spring 2019.",PAM,5
3285,Health Economics II,PAM 6420,PAM,"This course belongs to the health economics sequence. In addition to health economics, some topics cover public and labor economics. Students will also learn how to develop research sketches. First, we talk about U.S. health insurance and its intersection with the labor market. Then, we talk about health care providers, their reimbursement and behavior. Next, we study social insurance systems for health risks, such as disability or sick leave insurance. Finally, we cover specific topics like health measurement, the value of a statistical life or cost-benefit analysis. The lectures will not cover health behaviors (PAM 6410), human capital and early childhood effects, the environment-health literature, and effects of income, education, and unemployment on health (behaviors).",PAM,5
3286,Health Economics Workshop,PAM 6440,PAM,"Presentations of completed papers and work in progress by faculty members, advanced graduate students, and speakers from other universities. Focuses on professionalization and on the formulation, design, and execution of research papers and dissertations.",PAM,5
3287,Demography Training Seminar,PAM 6810,PAM,"CPC's weekly training seminar provides training and professional development to graduate students in demography and serves as a requirement for the graduate demography minor. Includes workshops and presentations of completed papers and work in progress by faculty members, advanced graduate students, and external speakers.",PAM,5
3288,Empirical Public Finance and Taxation,PAM 6970,PAM,The principal objective of this course is to explore empirical evidence on the role of government intervention in the economy. The focus of the course will be on reading important papers and learning techniques that will allow you to produce original research in public economics and to analyze critically existing research in the field.,PAM,5
3289,Master's Thesis and Research,PAM 8990,PAM,No description available.,PAM,5
3290,Doctoral Thesis and Research,PAM 9990,PAM,No description available.,PAM,5
3291,Beginning Swimming,PE 1100,PE,Instruction and practice in skills leading to passing the basic swimming proficiency test.,PE,5
3292,Swimming Conditioning,PE 1104,PE,"Introduction to and practice of different types of training methods. Final objectives: 2500 yards in one class period. Please note: This is primarily a conditioning course and not a stroke instruction one. The focus will be on workouts, workout planning and different types of training methods. This course is intended for more advanced swimmers. Students who have just completed beginning or advanced beginning swimming may have a very difficult time in this course.",PE,5
3293,Open Water Scuba,PE 1130,PE,"Program includes classroom work, skill training in the pool, and open-water training in Cayuga Lake in the summer and fall. Spring classes will be referral only (no open water dives). P.A.D.I. open-water certification awarded upon successful completion of summer and fall classes. Please carefully read the additional information on the PE website for particulars.",PE,5
3294,Introduction to Belly Dancing,PE 1155,PE,"Belly Dance, as it is called in the West, is an exciting art form expressing joy and happiness originating in the Middle East. Learning the correct posture and basic movements that are used in the many styles of this dance, we will combine movements and isolations of the body and put them together into several different dances including a drum solo. Dancing to the variety of Middle Eastern rhythms and melody is a fun, relaxing, stress free way to enjoy the day while developing flexibility, body awareness and overall body tone. Loose comfortable clothing is worn and the instructor provides hip scarves to use in class, if you have a coin belt please feel free to wear it in class.",PE,5
3295,Group Fitness Instructor Apprentice,PE 1232,PE,The hours for the course are arranged with the instructor.,PE,5
3296,Bootcamp,PE 1233,PE,"This course is designed as a modern military style workout program with an emphasis on both aerobic and anaerobic fitness. Each ninety minute workout session will consist of stretching, warm-up calisthenics, cardio training using many forms of running, upper body development using circuit courses on Trotter equipment and some free weights, abdominals and cool down stretching. This is a high energy course that will teach students the importance of motivation, enthusiasm and teamwork while familiarizing them with total-fitness techniques and concepts. Students should be prepared to train inside and out at each session. If you are ready to push yourself and train hard, Bootcamp is for you. Students of all fitness levels will benefit greatly from this course.",PE,5
3297,8 O'Clock Rock,PE 1235,PE,This class combines the best of the Principals of Weight Training and Cardio Crazy to get your day off to a rocking and rolling great start. Students will use resistance and cardio equipment to create the perfect morning wake-up call.,PE,5
3298,Cardio Fuego,PE 1236,PE,This class offers an exciting new Group Fitness experience. Each class will combine simple International dance rhythms with a fitness component of strength and core work. Students will work thru basic progressions of many globally influenced dance styles to build their skills in this very fun new fusion of dance. This class will start with the basics and gradually build the skill levels as the semester progresses.,PE,5
3299,Yasaride,PE 1237,PE,"This class combines two wonderful activities, indoor cycling and yoga into a mindful stress reducing hour of fitness. The yoga portion will focus on full body stretching as well as areas that need more attention after cycling such as hamstrings, hips, and the spine.  The class will also include work on breath, alignment, and mindfulness in both the cycling and yoga portions of the class. The length of time for each activity will vary from class to class.",PE,5
3300,Indoor Stationary Cycling,PE 1245,PE,"Based on the foundation of the Spinning® Program this indoor stationary cycling class combines basic cycling movements with motivational coaching, breathing awareness, and heart rate training. This non-impact, individually paced, cardiovascular fitness class is held in a fun environment with music that will move you! A great alternative to traditional group fitness classes.",PE,5
3301,Army ROTC Physical Training,PE 1250,PE,"Physical training is a key component to any personal development program. Training early and often allows one to get the day's workout out of the way, starting the day focused and relaxed, and increasing discipline throughout the semester. Physical training consists of early morning workouts with Army ROTC Cadets and Instructors, that focus on cardiovascular and muscular development, following a holistic workout to help achieve a strong core and heart.",PE,5
3302,Cardio Kickboxing,PE 1260,PE,"Cardio-Kickboxing is a series of movements that consists of kicks, punches, and blocks done to music. It is similar to a typical aerobics class except the moves consist of martial arts techniques. Cardio-Kickboxing is a total body workout in its most complete form burning over 800 calories and hour. No experience necessary.",PE,5
3303,Fitness and Conditioning,PE 1261,PE,"Fitness and conditioning is designed to familiarize the student with several different forms of exercise. Facilities used include the track, the gymnasium and other places around campus. The components of physical fitness include cardiovascular endurance, muscular strength, general flexibility and agility. The course will offer activities that enhance each component and help the individual to design a personal conditioning program for future fitness and well-being.",PE,5
3304,Fitness for Women,PE 1262,PE,"The design of this course includes both lecture and physical activity. Students are presented with a variety of topics and information that involves physical fitness and health. Each student will learn to design a fitness program that is geared toward her own interests and abilities. Topics include: nutrition, time management, relaxation techniques, and stress management. Activities will include aerobic dance, walking, jogging, weight training, flexibility exercises, relaxation and stress management routines, and yoga techniques.",PE,5
3305,Wellness and Fitness,PE 1265,PE,"""Here's to a Healthier You"" - A wellness experience for the busy student. This course will assess the student's physical fitness status, blood cholesterol levels and overall lifestyle health habits. Each student will receive an individual exercise prescription. Lectures on Nutrition and Stress Management are also presented. There will be one hour arranged with the instructor outside of normal class hours. This course has been made possible through the generosity of the Bateman family in memory of Ms. Dorothy Bateman, Cornell's first Director of Women's Sports and Physical Education (1920 to 1962).",PE,5
3306,Introduction to Jogging,PE 1270,PE,Covers running and stretching techniques. It comprises a conditioning program with the objective to develop the capacity to run 3 miles after 12 weeks of training.,PE,5
3307,Jogging Tours,PE 1271,PE,"This course is designed for the intermediate runner who can run an average of 3 miles in 30 minutes. Most tours will be 3 miles long and will go through campus and the nearby countryside. At times, weather may necessitate indoor training.",PE,5
3308,Walking Tours,PE 1272,PE,"A series of walking tours around the Cornell Campus and beyond. Class will meet regardless of weather, so please come prepared.",PE,5
3309,Walking Meditation,PE 1273,PE,"This course combines walking and meditation, two life-enhancing activities that can help students create balance in their hectic lives. Walking is the optimum exercise for good health and meditation offers the opportunity to calm an active and busy mind. Drawing on the teachings from the Vietnamese Zen Buddist monk, Thich Nhat Hanh, will involve meditating in motion.",PE,5
3310,Introduction to Bowling,PE 1300,PE,Instruction available during each class session for the Beginning or Intermediate level bowler. Choice of two 45 minute classes per week or one class for 90 minutes on Fridays. Shoe rental included in course fee which covers approximately 72 games.,PE,5
3311,Professional Instructional Golf,PE 1320,PE,"Equipment furnished. PGA program of instruction geared to all levels of experience and ability. The objective is to give beginners enough skill to play, and to give more advanced players direction in their thinking, practice, and play, through a thorough understanding of fundamentals.",PE,5
3312,Recreational Golf,PE 1321,PE,Students must play a minimum of 10 rounds of nine holes to receive credit. Students must be EXPERIENCED golfers (i.e. they MUST have golf playing experience on a course) and have their own set of clubs or use a rental set from the pro shop. Students who do not have the appropriate skills will be removed from the course and will not receive a refund. Locker rental is available.,PE,5
3313,Intermediate-Advanced Downhill Skiing,PE 1331,PE,"Transportation, instruction, ski-lift fees, and skiing time are offered in a package deal. Greek Peak personnel should be contacted to explain the program and fees. Please carefully read the additional information on the PE website for particulars. Bus transportation to Greek Peak is provided for some sessions for six weeks.",PE,5
3314,Juggling,PE 1340,PE,"The class focuses on teaching 3 ball juggling patterns as well as introducing a wide variety of other props which may include: rings, clubs, diabolo, flower sticks, poi, and spinning plates. Advanced students will also be able to learn club passing, 4 and 5 balls and advance tricks. Instruction will be given both as a group and on an individual basis. The course fee includes 3 high quality juggling balls of your own for class and future practice!",PE,5
3315,Introduction to Boxing,PE 1345,PE,"One of the oldest forms of competition known, boxing has become the sport of choice for many people. Boxing's simplistic method has few techniques, yet the application of these techniques is the true art and science of the sport. Kevin Seaman has over 30 years of experience as a boxing participant, trainer and coach. He has coached dozens of competitors, several Golden Gloves champions and hundreds of enthusiasts in this ring sport. His proven training methods are sure to improve and develop your defensive and offensive skills, cardiovascular endurance, footwork, agility, speed, timing and power. Training will include shadow boxing, jump rope, two person drills, focus glove and heavy bag work. Learn the fundamentals of one of the world's most popular sports: BOXING!",PE,5
3316,Intermediate Boxing,PE 1346,PE,"Covers the basic skills of footwork, defensive, and offensive techniques. Skipping rope, shadow boxing, and heavy bag work are taught as methods for individual aerobic conditioning.",PE,5
3317,HIIT Boxing,PE 1350,PE,"Burn a ton of calories, get stronger, and punch out your stress! Learn how to move with power and confidence. Not only do participants get a 45-minute fitness/cardio workout with our attentive and expert instructors, they also learn to use real kickboxing techniques on a heavy bag. Level up and track your progress with our Achievement Sets. Kickboxing will help you build a great body, power, confidence, and self defense skills!",PE,5
3318,Jeet Kune Do and MMA,PE 1360,PE,"The Jeet Kune Do Class at Cornell is taught as an MMA (Mixed Martial Arts) format. This focus will include JKD's approach to stand-up striking, teaching a blend of boxing, kickboxing, knee and elbow strikes. The ground format will include takedowns, mixed blends of grappling using Brazilian Jiu Jitsu, Erik Paulson's Combat Submission Wrestling, Filipino Kali grappling and striking from the ground. This is a blended system of martial arts that combines a modern western training approach with eastern martial arts training methods. Two person partner training and use of equipment to develop the student's strength, power and focus is stressed. The class format will emphasize the application of Jeet Kune Do in regard to Mixed Martial Arts training and competition. The class will maintain a strict regard for safety, but none the less instruct the student in the No-Nonsense approach of Modern Mixed Martial Arts. The system emphasizes footwork and agility, economy of motion, counter ability and strong practical self-defense, using a strategic approach to training and combat. This realistic, modern training approach cultivates strong physical, self-discipline, mental and emotional development in the student.",PE,5
3319,Karate Basics,PE 1365,PE,"This class is meant for those that want to start studying Karate or have not studied in a while.  Students learn about traditional Okinawan Karate (Shito Ryu) by practicing self-defense combinations that involve blocks, strikes, kicks, joint locks and throws.  Along the way we will work on stances, body positioning/mechanics and conditioning.  There is strong emphasis on partner work as a mechanism to practice what is being taught in a safe and controlled environment.  Free sparring and competition are not part of this class.  The last day of class students are encouraged to participate in that semester's belt test.  Passing this test sets you up to continue studying with the next class, should you decide to continue your studies of Karate.",PE,5
3320,Karate,PE 1366,PE,This class is meant for those that have recently studied Karate at Cornell or somewhere else and wish to continue their study of Karate.  Primary instruction is in the Shito Ryu style.  Every semester a different kata is presented along with the applicable self-defense techniques associated with that kata and there is an opportunity to test for a new rank/belt.  Bo staff is used as part of one kata in the curriculum.,PE,5
3321,Beginning Tae Kwon Do,PE 1375,PE,"C.W. (Cho Whang) TaeKwonDo of Ithaca conducts the course. The purpose of the program is to teach TaeKwonDo in its diverse aspects as a form of self-defense, as an art form, and as a competitive sport. Classes will consist of extensive stretching, the teaching of basics to beginners, forms of self-defense, and sparring techniques. TaeKwonDo emphasizes the use of the whole body, enhances flexibility and coordination and increases aerobic capability. Promotional tests are held at the end of each semester. Han Cho may be reached at 257-7810.",PE,5
3322,Intermediate Tae Kwon Do,PE 1376,PE,"C.W. (Cho Whang) TaeKwonDo of Ithaca conducts the course. The purpose of the program is to teach TaeKwonDo in its diverse aspects as a form of self-defense, as an art form, and as a competitive sport. Classes will consist of extensive stretching, the teaching of basics to beginners, forms of self-defense, and sparring techniques. TaeKwonDo emphasizes the use of the whole body, enhances flexibility and coordination and increases aerobic capability. Promotional tests are held at the end of each semester. Han Cho may be reached at 257-7810.",PE,5
3323,Tai Chi Chuan,PE 1380,PE,"Fundamentally, Tai Chi is an integrative exercise that joins the various elements of functional fitness into a single, organically connected whole. Through a rich vocabulary of movements that enhance spatial and body awareness, Tai Chi provides a medium for harmonizing balance, coordination, flexibility, and supple strength. This course will consist of warm-ups, stretching, an introduction to the 24 Movement Form, and 2 person interactive exercises. Please loose, comfortable clothing. Students must be in bare or sock feet during class.",PE,5
3324,Thai Boxing,PE 1385,PE,"This martial art system, developed from the unique culture of Thailand, is a blend of art, science and sport. The Thai art is a very powerful ring fighting method, yet is also an excellent form of physical conditioning and street self-defense. The fighting techniques taught in Thai boxing include; the Western Boxing method, elbow -knee strikes, and the powerful Thai style of kicking. This combined with the unique training method and discipline makes Thai Boxing one of the most effective systems in the world. Kevin Seaman is the New York State Representative for the Thai Boxing Association USA.",PE,5
3325,Filipino Kali,PE 1396,PE,"This is an eclectic form of Filipino stick fighting and self defense that evolved as a means of preservation in the hostile environment of the Jungles of the Philippines. Having roots in the 9th century, this is one martial art that truly equalizes your chances of survival in even the most dangerous circumstances, yet is also an amazing method of increasing your coordination and fitness, keeping both your mind and your body SHARP! Kali/Escrima addresses empty hand and kicking, grappling, and tools of the jungle warrior. Kevin Seaman has studied with many of the leading exponents of this amazing Martial Art for nearly 30 years. His skill in this art made him a regional, National and World Champion, competing Full Contact in the Orient in 1992.",PE,5
3326,Body-Mind,PE 1400,PE,"Do you want to learn to recognize and manage stress; to know and change your mental, physical, and emotional state? Do you want to leave class feeling calmer, more peaceful, refreshed? In this class you will learn relaxation/meditation, breathing awareness and sounding, gentle guided and spontaneous movement, self-massage, embodied imagination and more. You will discover how self-talk (what goes on in your mind) affects the quality of your life. You will experience simple and fun ways to be in your life with more ease and wellbeing. Dress in comfortable clothing suitable for movement on the floor and standing.",PE,5
3327,"Movement, Music and Meditation",PE 1402,PE,"This class is designed to awaken and reinforce the power of our own presence, which can only be done in the present moment. We will use various yoga and movement exercises to tune into our bodies, and we will engage in ancient meditation practices to calm our over-active minds. We will be supported by enlivening inspirational music as we expand our awareness of ourselves.",PE,5
3328,Living Routines,PE 1405,PE,"Once a week you will participate in a health routine. After a short brisk walk, (inside in poor weather) you will engage in an energizing stretching session, followed by a short meditation. In addition to being introduced to stretching and meditation, the class will offer you the opportunity to get to know your classmates through partnered self-awareness exercises and group sharing.",PE,5
3329,Massage and Self Care,PE 1417,PE,"Learn valuable techniques as you use them for self-care. As you practice massage and related techniques on yourself, you will enhance immune function, mood, well-being and performance. Class will include a variety of specific massage techniques, techniques for specific body areas, the use of acupoints, associated movement activities, simple hydrotherapy, and a pre- sleep routine.",PE,5
3330,Introduction to Meditation,PE 1420,PE,"This course provides the opportunity to explore a variety of ancient and modern methods designed to bring one to the state of meditation. The methods serve to evoke the deep relaxation from which heightened awareness and creativity arise. If these classes do not fit your schedule, try Body-Mind, Living Routines or Moving into the Moment which have meditation in them.",PE,5
3331,Relaxation and Stress Management,PE 1421,PE,"This course offers a mind/body approach to gaining realization and managing the stress in our lives. Participants will leave this course with a greater understanding and appreciation of their own unique ways of coping with stressful situations. We will explore a variety of techniques which can be used to ease the pressures of student life. A sample of these activities includes; stretching (Yoga), creative art, conversation, new games and meditation.",PE,5
3332,Meditation and Relaxation,PE 1422,PE,"This course is designed to assist you in learning to meditate, or to deepen your existing practice. As you learn to practice meditation and relaxation exercises, you will find that as little as 15 minutes a day can benefit your physical, mental, emotional and spiritual health. With some assistance, we are all capable of learning to relax deeply, sleep better, detach from the mind's chatter, focus with renewed concentration and become aware of the joy and energy that is deep within us. If these classes do not fit your schedule, try Body-Mind or Living Routines which both have meditation in them.",PE,5
3333,Chi Gong for Stress Reduction and Well Being,PE 1425,PE,"Chi Gong is an ancient Chinese practice meaning exercise with your vital energy or breathing exercise. Although this course is not being taught as a martial art, it can be considered the grandmother of the many different martial arts forms. You will learn Tai Chi Chi Gong Exercises Eighteen Ways. This form focuses on relaxation and rejuvenation through slow, graceful movements.  You will coordinate breathing, body position and mental activity. You will also learn passive Chi Gong/meditation, explore healing sounds, and self-massage. Benefits of practice include stress reduction, strength and balance, and inner harmony. In just moments of practice each day you can learn to shift your mental and physical state.  Practice is done in any comfortable clothing.",PE,5
3334,Ashtanga Yoga Foundations,PE 1427,PE,"This beginner's class will introduce Ashtanga Yoga to the new student. With asanas (poses) from the Primary Series we will focus on using the breath, core engagement, and gaze point to begin your own home-based practice. We will also introduce breath work and meditation. Leave the class feeling energized, refreshed, and strong.",PE,5
3335,Vinyasa Yoga,PE 1429,PE,"This course teaches the practice of Vinyasa Yoga. It explores postures flowing from one to the next (breath to movement) and also includes study of philosophy, meditation, breath-work, and alignment.",PE,5
3336,Introduction to Yoga,PE 1430,PE,"Learn the alignment foundations of yoga while building strength, flexibility, and vitality! This class is for those who are new to yoga or those looking to fine tune their practice. Students will learn the ""ins and outs"" of a variety of standing poses, back bends, and maybe even a few inversions or arm balances! Modifications will be given to accommodate all levels. Each class will also include breath instruction and poses for stress reduction.",PE,5
3337,Intermediate Yoga,PE 1431,PE,"The course covers more of the fundamentals of Hatha Yoga, including basic postures, breathing techniques, and deep relaxation and chanting techniques.",PE,5
3338,HIIT Yoga,PE 1439,PE,"HIIT yoga is a great way to get your heart rate up, burn calories, and have a mind-body connection. This 90 minutes course will have 60 minutes of HIIT and 30 minutes of yoga.",PE,5
3339,Introduction to Badminton,PE 1440,PE,Instruction and practice in the basic skills and rules for both singles and doubles play.,PE,5
3340,Intermediate Badminton,PE 1441,PE,Should have past experience in badminton. Strategies are taught for both singles and doubles play.,PE,5
3341,Outdoor Beginning Tennis,PE 1445,PE,"Instruction and practice in the basic skills of the game. Grip, serve, forehand, backhand, and lob are areas covered along with scoring systems. All equipment is furnished.",PE,5
3342,Outdoor Intermediate Tennis,PE 1446,PE,"Review and further instruction in strokes: forehand, backhand, serve, volley, and lob. Topspin and underspin are covered along with doubles strategy. All equipment is furnished.",PE,5
3343,Outdoor Advanced Tennis,PE 1447,PE,"For players with high school team or tournament experience. Skills emphasized are spins, serve and return of serve, volley, overhead smash, court positioning, and playing strategies. Class will meet twice a week for 1 1/2 hours.",PE,5
3344,Introduction to Large Boat Sailing,PE 1482,PE,"This course teaches the basic skills necessary to sail large 23 - 26 foot sailboats safely. Instruction will be done on large boats to be able to accommodate different weather situations. Skills learned include: sailing terminology, safety and etiquette, boat handling, sail trimming and heavy wind considerations. There are a total of eighteen hours of instruction and sailing on Cayuga Lake. Transportation will be provided. Course fee includes all equipment and a copy of a sailing text. Open to sailors of all skill levels.",PE,5
3345,Introduction to Trap and Skeet,PE 1505,PE,"All courses will meet in the Teagle Hall lobby for introduction and orientation. Range participation at Tompkins County Rod and Gun Club. Guns and shells furnished. Cost includes birds, shells, range use and instruction. Each participant is entitled to 6 X 25 bird rounds. Class meets once a week and transportation is provided.",PE,5
3346,Riflery,PE 1510,PE,"Instruction and practice in the use of a small bore target rifle. The course includes 3 position small bore .22 cal. (prone, standing and kneeling) target shooting. Class meets once a week and transportation is provided.",PE,5
3347,Introduction to Handgun Safety,PE 1515,PE,"Introduction to and instruction in the use of the pistol in the three modes of 50 foot competitive target shooting, i.e., slow fire, timed fire and rapid fire. Major emphasis is placed on safety resulting from a thorough understanding of the operation of the firearm and the personal responsibility of each individual on the range. Class meets once a week and transportation is provided.",PE,5
3348,Introduction to Archery,PE 1520,PE,"Instruction in the care of equipment; seven basic steps for shooting; scoring; practice shooting at 20, 30, and 40 yards. Class meets twice a week. Attendance for the first two classes is mandatory for safety reasons! If these classes are missed, the student can no longer continue to attend, and will be dropped from the course. Students dropped for this reason will be responsible for the full course fee.",PE,5
3349,Olympic Fencing,PE 1527,PE,"Olympic fencing (or simply ""fencing"") is a modern type of fencing that belongs to the family of combat sports using bladed weapons and refers to the fencing seen in most current competitions, including the Olympic Games and the World Cup. Originating in the 19th century, as a direct continuation of the 18th century French school of fencing which had in turn been influenced by the Italian school of the Renaissance. Includes warm-up exercises and all basic offensive and defensive moves.",PE,5
3350,Beginning-Intermediate Volleyball,PE 1570,PE,"Fundamentals of ball handling, serves, defensive blocks, and position play are stressed. Classes scrimmage.",PE,5
